Filename,2023-12-08-0459PM-0003-0005-287377-WCS417.mzdata.xml,2023-12-08-0807PM-0006-0008-288241-WCS417.mzdata.xml,2023-12-08-0704PM-0005-0007-480248-WCS417.mzdata.xml,2023-12-08-0357PM-0004-287367-WCS417.mzdata.xml,2023-12-08-0602PM-0004-0006-480203-WCS417.mzdata.xml,2023-12-09-0630AM-0016-0018-408231-WCS315.mzdata.xml,2023-12-09-0221AM-0012-0014-408260-WCS315.mzdata.xml,2023-12-09-0426AM-0014-0016-480271-WCS315.mzdata.xml,2023-12-09-0528AM-0015-0017-480279-WCS315.mzdata.xml,2023-12-09-0323AM-0013-0015-480270-WCS315.mzdata.xml,2023-12-08-0909PM-0007-0009-288242-CHA0.mzdata.xml,2023-12-08-1114PM-0009-0011-480204-CHA0.mzdata.xml,2023-12-09-0119AM-0011-0013-268226-CHA0.mzdata.xml,2023-12-08-1012PM-0008-0010-408232-CHA0.mzdata.xml,2023-12-09-1216AM-0010-0012-287358-CHA0.mzdata.xml
Group,WCS417,WCS417,WCS417,WCS417,WCS417,WCS315,WCS315,WCS315,WCS315,WCS315,CHAO,CHAO,CHAO,CHAO,CHAO
2-Butanone/3.94min,27.34168625,61.91619873,40.49689484,2275.756104,995.2894897,0,0,0,0,0,29.14380264,586.7337036,14.7666254,198.6353455,32.51441956
acetic acid/4.14min,81.00250244,80.83792877,858.0812988,1826.48877,1554.836792,0,12.27310181,11.82566166,24.52833939,38.42140198,26.34594917,788.0641479,189.6450043,266.4326782,749.4712524
unknown_598/4.19min,435.4217834,391.4664001,500.0958862,1140.984863,383.4555054,230.2525177,298.5848083,255.1888123,238.9716034,346.0957031,315.3108521,397.1405029,298.1894226,372.3909302,383.7677002
acetic acid ethyl ester/4.36min,38.32847214,4331.466309,98.18812561,280.7750244,218.0263062,95.32047272,319.6697388,52.81853485,33.67317581,187.9273529,0,0,0,0,0
unknown_664/4.98min,68.75617981,14.27182293,10.51235008,3008.144043,1058.187866,0,0,0,0,0,0,577.6035156,0,134.5402527,38.71488571
"1H-Pyrrole, 1-methyl-/6.21min",12.80437088,11.09253597,9.317648888,522.4130859,338.1537781,0,0,0,0,0,0,0,0,0,0
dimethyl disulfide/6.32min,3333.002441,3398.2771,4992.149902,2020.112427,1300.045044,870.4685669,1166.286743,1000,1100,600,37977.04688,28150.23633,30535.63477,38822.58594,29111.94824
"Hexane, 2,3-dimethyl-/6.65min",25.41689301,10.60818863,20.94180679,22.50179291,18.91909409,0,0,0,0,0,178.8013763,247.7759857,268.0858154,174.053421,196.0768433
25/91.0530mz/6.77min,2192.898193,1545.855957,1238.508301,13181.87207,3409.077637,332.7446899,721.001709,658.8123169,2386.264648,811.2213745,1055.599121,5292.126465,1094.793701,2851.983154,1221.541138
30/67.0531mz/7.48min,21.00555038,52.99766159,62.08342743,297.699646,200.1740112,3.035477161,20.82001305,12.71130276,18.11219978,112.5971527,16.1077652,45.61008835,13.69307899,20.93690872,128.9196777
unknown_819/7.85min,19.53047943,139.4955139,60.3727417,89.09260559,62.0115509,22.1170578,82.64792633,25.97409821,72.17626953,54.52846909,308.1668091,383.9433594,440.8171082,291.1923523,336.6196594
"Butanoic acid, 3-methyl-/8.34min",34.72303391,55.63899994,71.6879425,81.80834961,69.91973877,4.004631996,11.78503036,12.07024765,5.364435196,18.416008,261.9946289,193.442337,425.0281372,151.4633789,296.6070862
45/91.0529mz/9.23min,78.14735413,127.397522,250.0948944,1286.197021,603.9621582,53.19210434,41.41635895,41.64265823,171.5074615,59.49272919,55.15420914,865.6057129,39.07402039,51.72629547,79.16897583
46/55.0537mz/9.64min,15.76394653,258.8732605,81.93011475,235.1888123,115.7069244,0,185.0031433,10.60553741,8.886421204,29.10660362,39.29260635,118.8785782,56.63367844,47.38328934,51.08485413
Styrene/9.83min,416.4876099,572.3925171,320.1914673,2376.75,752.5357056,10.32499218,33.47883224,33.97499084,16.14421463,21.60108948,228.3069153,640.6469116,298.5940247,507.1974182,394.2698059
Heptanal/10.01min,310.154583,339.0347595,300.0592651,444.1327209,995.9136353,0,25.59543419,14.56042862,18.14037323,71.88708496,11.92335224,263.308136,64.28135681,399.4758606,1334.236328
49/91.0528mz/10.88min,80.59424591,64.20829773,235.2944794,21.22913742,15.53937531,13.54793739,21.21711159,86.97788239,83.6629715,19.15516281,141.6830597,197.7175598,156.569046,38.96227264,145.226593
dimethyl trisulfide/12.00min,376.9629517,17.87221909,225.9070435,12444.92188,1565.266357,0,5.783254623,13.84756088,6.293012619,10.56387329,22.7369194,1294.128296,18.81705284,985.7843018,209.3421478
57/94.0400mz/12.18min,368.8899536,249.5355682,117.1131439,18625.56445,4494.864258,0,244.7545013,269.1496887,108.0237274,722.407959,0,3756.441406,97.68747711,259.2939758,262.7290344
unknown_990/12.31min,7.715165138,127.6099548,28.72587204,302.4660645,30.27970886,0,4.3689785,3.799483299,0,3.072205782,6.317913055,38.36835098,24.27456093,8.168730736,12.67806721
63/67.0532mz/12.73min,37.82527161,582.2825317,559.7973633,89.69636536,339.0732117,3.2575109,50.96010208,26.08655548,24.918293,403.3850098,48.26235199,316.0393982,87.93382263,42.75000763,285.7259216
66/55.0537mz/13.37min,328.1026917,2867.925537,379.2538757,205.9842377,170.9577026,19.37205124,324.8084106,429.2416382,1810.527832,443.6351013,213.2804108,92.29897308,408.0236816,247.2113342,273.5119934
