Pot_number,Total_leaf_area_cm^2,Average_leaf_area_cm^2,Nº leaves,FW_root_g,FW_shoot_g,DW_shoot_g,shoot_DR_FW_ratio,water_regime,treatment,water_content_pct
1,463.03,51.44777778,10,11.37,29.47,3.97,0.134713268,DR,CHA0,86.52867323
2,395.45,43.93888889,12,2.32,25.77,3.64,0.141249515,DR,WCS315,85.87504851
3,631.1,57.37272727,14,9.5,39.61,5.43,0.137086594,WW,WCS315,86.29134057
4,450.72,50.08,13,5.11,25.82,2.96,0.114639814,DR,CHA0,88.53601859
5,644.99,58.63545455,13,6.61,36.4,4.33,0.118956044,WW,WCS315,88.1043956
6,698.33,63.48454545,14,7.4,43.6,5.26,0.120642202,WW,CHA0,87.93577982
7,359.46,44.9325,11,22.8,23.02,4.25,0.184622068,WW,Control,81.53779322
8,700.61,63.69181818,14,11.12,47.54,6.22,0.13083719,WW,WCS417,86.91628103
9,419.06,52.3825,11,3.03,26.77,5.8,0.216660441,DR,WCS315,78.33395592
10,394.01,49.25125,12,2.56,26.68,4.02,0.150674663,DR,WCS315,84.93253373
11,711.02,71.102,13,11.17,47.04,5.81,0.123511905,WW,WCS417,87.64880952
12,381.12,47.64,10,30.32,23.43,5.3,0.226205719,WW,Control,77.37942808
13,452.5,56.5625,11,7.96,28.27,3.44,0.121683764,DR,CHA0,87.83162363
14,371.4,46.425,11,2.8,25.03,3.73,0.149021175,DR,WCS417,85.09788254
15,734.26,66.75090909,15,8.29,46.19,5.84,0.126434293,WW,CHA0,87.35657069
16,776.92,70.62909091,13,14.15,48.5,6.53,0.134639175,WW,WCS417,86.53608247
17,786.6,71.50909091,14,10.89,46.06,5.21,0.11311333,WW,CHA0,88.68866696
18,358.63,44.82875,11,2.1,20.77,2.81,0.135291286,DR,WCS315,86.47087145
19,277.03,39.57571429,10,4.53,19.36,3.52,0.181818182,DR,Control,81.81818182
20,558.82,55.882,12,5.89,32.63,4.93,0.151087956,WW,WCS315,84.89120441
21,475.41,52.82333333,13,4.73,30.02,3.79,0.126249167,DR,CHA0,87.37508328
22,424.3,53.0375,12,6.28,28.8,3.77,0.130902778,DR,CHA0,86.90972222
23,786.16,71.46909091,15,12.61,50.08,6.92,0.138178914,WW,WCS417,86.18210863
24,666.53,66.653,14,14.45,44.38,6.06,0.136547995,WW,CHA0,86.34520054
25,429.74,47.74888889,12,4.19,28.11,4.12,0.146567058,DR,WCS417,85.3432942
26,244.35,34.90714286,10,6.01,17.25,4.12,0.23884058,DR,Control,76.11594203
27,285.16,35.645,9,4.82,20.8,3.94,0.189423077,DR,Control,81.05769231
28,269.24,38.46285714,10,4.92,18.91,3.45,0.182443152,DR,Control,81.75568482
29,395.06,49.3825,12,2.64,25.78,3.55,0.137703646,DR,WCS417,86.22963538
30,395.73,49.46625,11,2.34,24.41,2.82,0.115526424,DR,WCS315,88.44735764
31,424.7,53.0875,12,2.82,27.2,3.14,0.115441176,DR,WCS417,88.45588235
32,672.83,67.283,14,15.87,43.68,5.72,0.130952381,WW,CHA0,86.9047619
33,777.09,77.709,15,9.31,48.66,5.99,0.123099055,WW,WCS417,87.69009453
34,641.9,64.19,13,13.07,41.64,5.36,0.128722382,WW,CHA0,87.12776177
35,361.72,45.215,11,2.48,22.79,2.58,0.113207547,DR,WCS417,88.67924528
36,346.28,49.46857143,11,34.08,22.52,3.75,0.16651865,WW,Control,83.34813499
37,256.62,36.66,10,4.51,15.12,2.37,0.156746032,DR,Control,84.32539683
38,351.65,43.95625,9,2.62,19.97,3.01,0.150726089,DR,CHA0,84.92739109
39,378.02,47.2525,10,30.65,23.4,3.62,0.154700855,WW,Control,84.52991453
40,386.44,48.305,11,1.69,23.5,3.21,0.136595745,DR,WCS417,86.34042553
41,655.88,65.588,14,11.32,42.77,5.41,0.126490531,WW,WCS315,87.35094693
42,335.75,41.96875,10,5.17,21.12,3.46,0.163825758,DR,Control,83.61742424
43,358.2,51.17142857,10,34.72,24.16,4.09,0.169288079,WW,Control,83.07119205
44,439.24,48.80444444,11,2.71,29.12,3.32,0.114010989,DR,WCS417,88.5989011
45,667.13,66.713,14,9.04,41.11,5.85,0.142301143,WW,WCS315,85.76988567
46,900.58,90.058,12,8.67,40.36,6.16,0.152626363,WW,WCS315,84.73736373
47,387.9,48.4875,12,2.36,25.38,3.19,0.125689519,DR,WCS315,87.43104807
48,440.34,48.92666667,12,4.1,27.18,3.81,0.1401766,DR,CHA0,85.98233996
49,416.64,52.08,10,30,24.32,3.43,0.141036184,WW,Control,85.89638158
50,814.41,74.03727273,13,9.51,45.41,4.9,0.107905748,WW,WCS417,89.20942524
51,769.41,76.941,13,4.4,42.02,4.75,0.113041409,WW,WCS417,88.69585911
52,287.31,41.04428571,10,3.65,17.19,2.45,0.142524724,DR,Control,85.74752763
53,634,63.4,14,4.49,34.24,3.69,0.107768692,WW,WCS315,89.22313084
54,410.76,51.345,12,20.53,23.49,3.04,0.129416773,WW,Control,87.05832269
55,705.16,70.516,15,6.36,43.38,4.33,0.099815583,WW,CHA0,90.01844168
56,408.08,51.01,12,2.41,23.39,2.98,0.127404874,DR,WCS315,87.25951261
