sample_ID	Pot_number	Sample_type	water_regime	treatment	Total_leaf_area_cm^2	Average_leaf_area_cm^2	Nº leaves	FW_root_g	FW_shoot_g	DW_shoot_g	shoot_DR_FW_ratio	water_content_pct	amplicon_concentration_ngul	library
ZRB-1	1	rhizosphere	DR	CHA0	463.03	51.44777778	10	11.37	29.47	3.97	0.134713268	86.52867323	3.317	failed
ZRB-2	2	rhizosphere	DR	WCS315	395.45	43.93888889	12	2.32	25.77	3.64	0.141249515	85.87504851	3.373	failed
ZRB-3	3	rhizosphere	WW	WCS315	631.1	57.37272727	14	9.5	39.61	5.43	0.137086594	86.29134057	7.367	failed
ZRB-4	4	rhizosphere	DR	CHA0	450.72	50.08	13	5.11	25.82	2.96	0.114639814	88.53601859	6.799	
ZRB-5	5	rhizosphere	WW	WCS315	644.99	58.63545455	13	6.61	36.4	4.33	0.118956044	88.1043956	10.663	failed
ZRB-6	6	rhizosphere	WW	CHA0	698.33	63.48454545	14	7.4	43.6	5.26	0.120642202	87.93577982	7.795	
ZRB-7	7	rhizosphere	WW	Control	359.46	44.9325	11	22.8	23.02	4.25	0.184622068	81.53779322	5.554	failed
ZRB-8	8	rhizosphere	WW	WCS417	700.61	63.69181818	14	11.12	47.54	6.22	0.13083719	86.91628103	9.972	
ZRB-9	9	rhizosphere	DR	WCS315	419.06	52.3825	11	3.03	26.77	5.8	0.216660441	78.33395592	4.468	
ZRB-10	10	rhizosphere	DR	WCS315	394.01	49.25125	12	2.56	26.68	4.02	0.150674663	84.93253373	3.674	
ZRB-11	11	rhizosphere	WW	WCS417	711.02	71.102	13	11.17	47.04	5.81	0.123511905	87.64880952	7.923	
ZRB-12	12	rhizosphere	WW	Control	381.12	47.64	10	30.32	23.43	5.3	0.226205719	77.37942808	2.727	
ZRB-13	13	rhizosphere	DR	CHA0	452.5	56.5625	11	7.96	28.27	3.44	0.121683764	87.83162363	2.598	
ZRB-14	14	rhizosphere	DR	WCS417	371.4	46.425	11	2.8	25.03	3.73	0.149021175	85.09788254	4.896	
ZRB-15	15	rhizosphere	WW	CHA0	734.26	66.75090909	15	8.29	46.19	5.84	0.126434293	87.35657069	4.4	
ZRB-16	16	rhizosphere	WW	WCS417	776.92	70.62909091	13	14.15	48.5	6.53	0.134639175	86.53608247	5.007	
ZRB-17	17	rhizosphere	WW	CHA0	786.6	71.50909091	14	10.89	46.06	5.21	0.11311333	88.68866696	9.545	
ZRB-18	18	rhizosphere	DR	WCS315	358.63	44.82875	11	2.1	20.77	2.81	0.135291286	86.47087145	2.832	
ZRB-19	19	rhizosphere	DR	Control	277.03	39.57571429	10	4.53	19.36	3.52	0.181818182	81.81818182	6.337	failed
ZRB-20	20	rhizosphere	WW	WCS315	558.82	55.882	12	5.89	32.63	4.93	0.151087956	84.89120441	7.45	
ZRB-21	21	rhizosphere	DR	CHA0	475.41	52.82333333	13	4.73	30.02	3.79	0.126249167	87.37508328	2.307	failed
ZRB-22	22	rhizosphere	DR	CHA0	424.3	53.0375	12	6.28	28.8	3.77	0.130902778	86.90972222	5.105	
ZRB-23	23	rhizosphere	WW	WCS417	786.16	71.46909091	15	12.61	50.08	6.92	0.138178914	86.18210863	7.632	
ZRB-24	24	rhizosphere	WW	CHA0	666.53	66.653	14	14.45	44.38	6.06	0.136547995	86.34520054	7.44	
ZRB-25	25	rhizosphere	DR	WCS417	429.74	47.74888889	12	4.19	28.11	4.12	0.146567058	85.3432942	6.264	
ZRB-26	26	rhizosphere	DR	Control	244.35	34.90714286	10	6.01	17.25	4.12	0.23884058	76.11594203	3.222	
ZRB-27	27	rhizosphere	DR	Control	285.16	35.645	9	4.82	20.8	3.94	0.189423077	81.05769231	4.023	failed
ZRB-28	28	rhizosphere	DR	Control	269.24	38.46285714	10	4.92	18.91	3.45	0.182443152	81.75568482	5.033	failed
ZRB-29	29	rhizosphere	DR	WCS417	395.06	49.3825	12	2.64	25.78	3.55	0.137703646	86.22963538	2.603	failed
ZRB-30	30	rhizosphere	DR	WCS315	395.73	49.46625	11	2.34	24.41	2.82	0.115526424	88.44735764	2.452	
ZRB-31	31	rhizosphere	DR	WCS417	424.7	53.0875	12	2.82	27.2	3.14	0.115441176	88.45588235	3.67	failed
ZRB-32	32	rhizosphere	WW	CHA0	672.83	67.283	14	15.87	43.68	5.72	0.130952381	86.9047619	8.312	failed
ZRB-33	33	rhizosphere	WW	WCS417	777.09	77.709	15	9.31	48.66	5.99	0.123099055	87.69009453	8.256	
ZRB-34	34	rhizosphere	WW	CHA0	641.9	64.19	13	13.07	41.64	5.36	0.128722382	87.12776177	9.843	
ZRB-35	35	rhizosphere	DR	WCS417	361.72	45.215	11	2.48	22.79	2.58	0.113207547	88.67924528	3.518	
ZRB-36	36	rhizosphere	WW	Control	346.28	49.46857143	11	34.08	22.52	3.75	0.16651865	83.34813499	3.949	
ZRB-37	37	rhizosphere	DR	Control	256.62	36.66	10	4.51	15.12	2.37	0.156746032	84.32539683	1.844	failed
ZRB-38	38	rhizosphere	DR	CHA0	351.65	43.95625	9	2.62	19.97	3.01	0.150726089	84.92739109	4.626	
ZRB-39	39	rhizosphere	WW	Control	378.02	47.2525	10	30.65	23.4	3.62	0.154700855	84.52991453	6.452	
ZRB-40	40	rhizosphere	DR	WCS417	386.44	48.305	11	1.69	23.5	3.21	0.136595745	86.34042553	3.557	
ZRB-41	41	rhizosphere	WW	WCS315	655.88	65.588	14	11.32	42.77	5.41	0.126490531	87.35094693	5.283	
ZRB-42	42	rhizosphere	DR	Control	335.75	41.96875	10	5.17	21.12	3.46	0.163825758	83.61742424	2.452	failed
