Treatment;image; root_name;PRL;LRN;LRD
Salt_mock;Salt_without_001_1.rsml; root_4;5.306932;17;3.20335742
Salt_mock;Salt_without_001_1.rsml; root_3;5.8396077;16;2.73991008
Salt_mock;Salt_without_001_1.rsml; root_2;5.979116;21;3.512224884
Salt_mock;Salt_without_001_1.rsml; root_1;5.525488;17;3.076651329
Salt_mock;Salt_without_001_1.rsml; root_0;5.4653873;20;3.659392995
Salt_mock;Salt_without_001_2.rsml; root_4;5.0020895;9;1.799248094
Salt_mock;Salt_without_001_2.rsml; root_3;5.6896024;11;1.933351265
Salt_mock;Salt_without_001_2.rsml; root_2;5.9040766;15;2.540617444
Salt_mock;Salt_without_001_2.rsml; root_1;5.7451544;13;2.262776436
Salt_mock;Salt_without_001_2.rsml; root_0;5.283782;13;2.460358887
Salt_mock;Salt_without_002_1.rsml; root_4;5.956376;10;1.678873194
Salt_mock;Salt_without_002_1.rsml; root_3;6.1101217;8;1.30930289
Salt_mock;Salt_without_002_1.rsml; root_2;6.130292;7;1.141870567
Salt_mock;Salt_without_002_1.rsml; root_1;6.50677;10;1.536860839
Salt_mock;Salt_without_002_1.rsml; root_0;6.1935816;10;1.614574675
Salt_mock;Salt_without_002_2.rsml; root_4;5.38544;9;1.671172643
Salt_mock;Salt_without_002_2.rsml; root_3;5.9133735;17;2.874839548
Salt_mock;Salt_without_002_2.rsml; root_2;5.6651173;13;2.294745071
Salt_mock;Salt_without_002_2.rsml; root_1;5.9598246;17;2.852432939
Salt_mock;Salt_without_002_2.rsml; root_0;5.531996;10;1.807665805
Salt_WCS417;Salt_with_001_1.rsml; root_4;5.7077804;16;2.803191237
Salt_WCS417;Salt_with_001_1.rsml; root_3;5.455515;17;3.116112778
Salt_WCS417;Salt_with_001_1.rsml; root_2;5.4813027;17;3.101452507
Salt_WCS417;Salt_with_001_1.rsml; root_1;5.5526624;16;2.881500593
Salt_WCS417;Salt_with_001_1.rsml; root_0;5.179601;13;2.509845836
Salt_WCS417;Salt_with_001_2.rsml; root_3;5.337362;14;2.623018637
Salt_WCS417;Salt_with_001_2.rsml; root_2;5.661423;23;4.062582852
Salt_WCS417;Salt_with_001_2.rsml; root_1;5.6552463;20;3.53653916
Salt_WCS417;Salt_with_001_2.rsml; root_0;5.5151777;19;3.445038589
Salt_WCS417;Salt_with_002_1.rsml; root_4;5.8093753;18;3.098439862
Salt_WCS417;Salt_with_002_1.rsml; root_3;5.644766;24;4.251726289
Salt_WCS417;Salt_with_002_1.rsml; root_2;6.06738;18;2.966684137
Salt_WCS417;Salt_with_002_1.rsml; root_1;5.967417;23;3.854263914
Salt_WCS417;Salt_with_002_1.rsml; root_0;5.553392;21;3.781472657
Salt_WCS417;Salt_with_002_2.rsml; root_4;5.7381086;16;2.78837525
Salt_WCS417;Salt_with_002_2.rsml; root_3;6.451712;14;2.169966669
Salt_WCS417;Salt_with_002_2.rsml; root_2;5.980098;19;3.177205457
Salt_WCS417;Salt_with_002_2.rsml; root_1;6.0739665;24;3.951289491
Salt_WCS417;Salt_with_002_2.rsml; root_0;5.5902424;19;3.398779273
Salt_WCS417;Salt_with_003_1.rsml; root_4;5.8049955;21;3.617573864
Salt_WCS417;Salt_with_003_1.rsml; root_3;5.446127;21;3.855951211
Salt_WCS417;Salt_with_003_1.rsml; root_2;6.122225;23;3.756804103
Salt_WCS417;Salt_with_003_1.rsml; root_1;5.735223;24;4.184667274
Salt_WCS417;Salt_with_003_1.rsml; root_0;5.5904713;20;3.577515906
