Media,Treatment,Plate,Seedling,Total_biomass_g,Shoot_biomass_g,Root_biomass_g,Total_biomass_mg,Shoot_biomass_mg,Root_biomass_mg,Primary_root_length_pixel,Total_root_length_pixel,Primary_root_length_mm,Total_root_length_mm,Number_lateral_roots
control,control,1,1,0.0091,0.0083,0.0008,9.1,8.3,0.8,634.32,1060.85,64.46341463,107.8099593,7
control,control,1,2,0.0078,0.0055,0.0023,7.8,5.5,2.3,603.83,1006.24,61.3648374,102.2601626,9
control,control,1,3,0.0098,0.0069,0.0029,9.8,6.9,2.9,718.8,1402.76,73.04878049,142.5569106,11
control,control,1,4,0.0082,0.0054,0.0028,8.2,5.4,2.8,696.8,1204.77,70.81300813,122.4359756,9
control,control,1,5,0.0099,0.0064,0.0035,9.9,6.4,3.5,669.23,1295.15,68.01117886,131.620935,9
control,control,1,6,0.0105,0.007,0.0035,10.5,7,3.5,685.24,1469.35,69.63821138,149.324187,13
control,control,1,7,0.0073,0.0056,0.0017,7.3,5.6,1.7,634.43,991.68,64.4745935,100.7804878,10
control,control,1,8,0.0069,0.0059,0.001,6.9,5.9,1,636.67,1338.76,64.70223577,136.0528455,11
control,control,2,1,0.008,0.0061,0.0019,8,6.1,1.9,652.44,1029.79,66.30487805,104.6534553,9
control,control,2,3,0.0084,0.0061,0.0023,8.4,6.1,2.3,690.84,1135.03,70.20731707,115.3485772,8
control,control,2,4,0.0076,0.0054,0.0022,7.6,5.4,2.2,687.21,1228.76,69.83841463,124.8739837,9
control,control,2,5,0.007,0.0052,0.0018,7,5.2,1.8,672.98,1096.1,68.39227642,111.3922764,8
control,control,2,6,0.008,0.0057,0.0023,8,5.7,2.3,660.69,1063.62,67.14329268,108.0914634,8
control,control,2,7,0.0082,0.006,0.0022,8.2,6,2.2,665.33,1149.79,67.6148374,116.8485772,9
control,control,2,8,0.0075,0.0051,0.0024,7.5,5.1,2.4,662.39,1044.84,67.31605691,106.1829268,9
control,control,3,1,0.0089,0.0071,0.0018,8.9,7.1,1.8,651.52,1062.98,66.21138211,108.0264228,10
control,control,3,2,0.011,0.0079,0.0031,11,7.9,3.1,610.84,991.56,62.07723577,100.7682927,10
control,control,3,3,0.0091,0.0066,0.0025,9.1,6.6,2.5,,,,,
control,control,3,4,0.011,0.0076,0.0034,11,7.6,3.4,646.38,1338.39,65.68902439,136.0152439,12
control,control,3,5,0.0092,0.007,0.0022,9.2,7,2.2,633.32,1204.66,64.36178862,122.4247967,12
control,control,3,6,0.0098,0.0069,0.0029,9.8,6.9,2.9,564.47,920.49,57.3648374,93.54573171,8
control,WCS417,1,1,0.0118,0.0078,0.004,11.8,7.8,4,571.69,1306.39,58.09857724,132.7632114,12
control,WCS417,1,2,0.0055,0.004,0.0015,5.5,4,1.5,593.6,1448,60.32520325,147.1544715,18
control,WCS417,1,3,0.01,0.0066,0.0034,10,6.6,3.4,561.89,1498.96,57.10264228,152.3333333,13
control,WCS417,1,4,0.0087,0.006,0.0027,8.7,6,2.7,584.79,1729.73,59.42987805,175.7855691,18
control,WCS417,1,5,0.014,0.0094,0.0046,14,9.4,4.6,563.94,1069.57,57.31097561,108.6961382,12
control,WCS417,1,6,0.0106,0.0074,0.0032,10.6,7.4,3.2,550.02,1267.07,55.89634146,128.7672764,14
control,WCS417,1,7,0.0127,0.0085,0.0042,12.7,8.5,4.2,546.7,679.37,55.55894309,69.04166667,3
control,WCS417,1,8,0.0064,0.0052,0.0012,6.4,5.2,1.2,623.65,1245.28,63.37906504,126.5528455,13
control,WCS417,2,1,0.0109,0.0074,0.0035,10.9,7.4,3.5,544.71,999.22,55.35670732,101.546748,12
control,WCS417,2,2,0.0125,0.0098,0.0027,12.5,9.8,2.7,630.63,1735.91,64.08841463,176.4136179,19
control,WCS417,2,3,0.0115,0.008,0.0035,11.5,8,3.5,686.84,2492.38,69.80081301,253.2906504,19
control,WCS417,2,4,0.0096,0.0068,0.0028,9.6,6.8,2.8,624.78,1655.45,63.49390244,168.2367886,17
control,WCS417,2,5,0.0127,0.0085,0.0042,12.7,8.5,4.2,573.26,1210.14,58.25813008,122.9817073,15
control,WCS417,2,6,0.0159,0.0103,0.0056,15.9,10.3,5.6,592.62,1522.03,60.22560976,154.6778455,17
control,WCS417,2,7,0.0144,0.0096,0.0048,14.4,9.6,4.8,599.62,1712.58,60.93699187,174.0426829,15
control,WCS417,2,8,0.0074,0.0057,0.0017,7.4,5.7,1.7,570.14,1313.19,57.94105691,133.4542683,12
control,WCS417,3,1,0.0152,0.0103,0.0049,15.2,10.3,4.9,638.51,1758.92,64.88922764,178.7520325,17
control,WCS417,3,2,0.0157,0.0107,0.005,15.7,10.7,5,637.19,2152.03,64.7550813,218.7022358,20
control,WCS417,3,3,0.0146,0.0095,0.0051,14.6,9.5,5.1,554.49,2199.46,56.35060976,223.5223577,18
control,WCS417,3,4,0.0148,0.0101,0.0047,14.8,10.1,4.7,619.81,1973.21,62.98882114,200.5294715,19
control,WCS417,3,5,0.0153,0.0103,0.005,15.3,10.3,5,634.16,1877.18,64.44715447,190.7703252,21
control,WCS417,3,6,0.0171,0.0105,0.0066,17.1,10.5,6.6,605.83,1818.17,61.56808943,184.773374,16
control,WCS417,3,7,0.017,0.0109,0.0061,17,10.9,6.1,616.83,1859.88,62.68597561,189.0121951,17
control,WCS417,3,8,0.0143,0.009,0.0053,14.3,9,5.3,615.58,1859.54,62.55894309,188.9776423,17
75mM,control,1,1,0.0063,0.0045,0.0018,6.3,4.5,1.8,539.54,613.33,54.83130081,62.33028455,1
75mM,control,1,2,0.0068,0.0046,0.0022,6.8,4.6,2.2,548.18,568.64,55.70934959,57.78861789,2
75mM,control,1,3,0.0071,0.0051,0.002,7.1,5.1,2,658.07,826.52,66.87703252,83.99593496,6
75mM,control,1,4,0.006,0.0041,0.0019,6,4.1,1.9,641.01,707.77,65.14329268,71.92784553,3
75mM,control,1,5,0.0066,0.0045,0.0021,6.6,4.5,2.1,603.02,743.9,61.28252033,75.5995935,3
75mM,control,1,6,0.0073,0.0054,0.0019,7.3,5.4,1.9,597.76,710.56,60.74796748,72.21138211,3
75mM,control,1,7,0.0066,0.0045,0.0021,6.6,4.5,2.1,608.14,806.55,61.80284553,81.96646341,4
75mM,control,1,8,0.0077,0.0052,0.0025,7.7,5.2,2.5,649.54,971.57,66.0101626,98.73678862,5
75mM,control,2,1,0.0053,0.0037,0.0016,5.3,3.7,1.6,595.36,655.63,60.50406504,66.62906504,1
75mM,control,2,2,0.005,0.003,0.002,5,3,2,611.73,677.55,62.16768293,68.85670732,2
