sample_name;Tissue;Water_regime;Treatment;Glucose_raw;Fructose_raw;Sucrose_raw;glu_µg/mg_FW;fru_µg/mg_FW;suc_µg/mg_FW
R C-C-1;root;control;mock;13,617;1,696;2,147;0,99936;0,26744;0,4394
R C-T-1;root;control;pseudomonas;9,687;1,834;2,431;0,68496;0,28676;0,4962
R D-C-1;root;drought;mock;20,867;6,828;5,987;1,57936;0,98592;1,2074
R D-T-1;root;drought;pseudomonas;22,474;6,521;4,609;1,70792;0,94294;0,9318
R C-C-2;root;control;mock;12,912;2,176;2,62;0,94296;0,33464;0,534
R C-T-2;root;control;pseudomonas;5,595;1,841;2,374;0,3576;0,28774;0,4848
R D-C-2;root;drought;mock;20,948;8,05;6,061;1,58584;1,157;1,2222
R D-T-2;root;drought;pseudomonas;NA;NA;NA;NA;NA;NA
R C-C-3;root;control;mock;14,182;2,308;2,415;1,04456;0,35312;0,493
R C-T-3;root;control;pseudomonas;5,975;1,832;2,35;0,388;0,28648;0,48
R D-C-3;root;drought;mock;16,816;5,291;4,671;1,25528;0,77074;0,9442
R D-T-4;root;drought;pseudomonas;15,217;4,837;3,414;1,12736;0,70718;0,6928
R C-C-4;root;control;mock;14,497;2,555;1,897;1,06976;0,3877;0,3894
R C-T-4;root;control;pseudomonas;11,896;1,847;1,915;0,86168;0,28858;0,393
R D-C-4;root;drought;mock;19,3;6,619;5,672;1,454;0,95666;1,1444
R D-T-4;root;drought;pseudomonas;16,726;5,712;3,933;1,24808;0,82968;0,7966
S C-C-1;shoot;control;mock;8,869;3,033;1,264;0,61952;0,45462;0,2628
S C-T-1;shoot;control;pseudomonas;5,69;2,145;1,078;0,3652;0,3303;0,2256
S D-C-1;shoot;drought;mock;8,92;3,186;3,538;0,6236;0,47604;0,7176
S D-T-1;shoot;drought;pseudomonas;11,541;4,58;4,968;0,83328;0,6712;1,0036
S C-C-2;shoot;control;mock;5,192;1,889;0,925;0,32536;0,29446;0,195
S C-T-2;shoot;control;pseudomonas;2,824;1,851;1;0,13592;0,28914;0,21
S D-C-2;shoot;drought;mock;15,395;4,653;5,873;1,1416;0,68142;1,1846
S D-T-2 ;shoot;drought;pseudomonas;9,708;3,747;4,886;0,68664;0,55458;0,9872
S C-C-3;shoot;control;mock;2,6;2,119;0,977;0,118;0,32666;0,2054
S C-T-3;shoot;control;pseudomonas;3,188;1,741;0,906;0,16504;0,27374;0,1912
S D-C-3;shoot;drought;mock;5,555;3,905;5,831;0,3544;0,5767;1,1762
S D-T-3;shoot;drought;pseudomonas;10,319;4,117;5,664;0,73552;0,60638;1,1428
S C-C-4;shoot;control;mock;2,48;1,618;0,71;0,1084;0,25652;0,152
S C-T-4;shoot;control;pseudomonas;1,053;0,647;0,254;-0,00576;0,12058;0,0608
S D-C-4;shoot;drought;mock;13,496;4,616;4,518;0,98968;0,67624;0,9136
S D-T-4;shoot;drought;pseudomonas;3,331;4,384;6,344;0,17648;0,64376;1,2788
